Country,Date,Total Vaccinations Per Hundred,People Vaccinated Per Hundred,People Fully Vaccinated Per Hundred
Latvia,2021-10,2969.5,1710.7299999999998,1551.6799999999998
Latvia,2021-11,3434.4199999999996,1985.4900000000002,1795.3799999999997
Latvia,2021-12,4042.6700000000005,2157.1700000000005,2053.5800000000004
Latvia,2022-01,4463.010000000001,2204.63,2121.35
Latvia,2022-02,4244.660000000001,2010.7399999999998,1941.85
Latvia,2022-03,4298.64,2014.5700000000006,1951.1500000000003
Liechtenstein,2020-12,0.0,0.0,0
Liechtenstein,2021-01,18.29,18.1,0
Liechtenstein,2021-02,110.32000000000001,89.77000000000002,26.230000000000004
Liechtenstein,2021-03,336.59,248.59000000000003,102.91
Liechtenstein,2021-04,708.5100000000001,477.44000000000005,253.8000000000001
Liechtenstein,2021-05,1381.97,891.93,520.4399999999999
Liechtenstein,2021-06,2191.6,1345.17,882.1200000000003
Liechtenstein,2021-07,3020.72,1658.6999999999998,1402.8299999999992
Liechtenstein,2021-08,3336.2400000000016,1755.8899999999999,1623.68
Liechtenstein,2021-09,3518.7900000000004,1863.2399999999998,1702.0999999999995
Liechtenstein,2021-10,3863.349999999999,2011.2099999999996,1910.5700000000002
Liechtenstein,2021-11,3900.6700000000005,2000.3000000000002,1946.3100000000002
Liechtenstein,2021-12,4730.250000000001,2106.4499999999994,2060.58
Liechtenstein,2022-01,5408.729999999999,2143.7099999999996,2095.4900000000002
Liechtenstein,2022-02,5115.27,1953.8899999999992,1921.1500000000005
Liechtenstein,2022-03,5146.849999999998,1955.3699999999988,1930.67
Lithuania,2020-12,1.3,1.3,0
Lithuania,2021-01,55.34,48.93,6.3500000000000005
Lithuania,2021-02,172.32,112.97999999999999,59.34
Lithuania,2021-03,437.68,305.24999999999994,132.41
Lithuania,2021-04,836.23,596.36,239.83999999999997
Lithuania,2021-05,1524.47,999.8299999999999,531.73
Lithuania,2021-06,2200.9600000000005,1309.1800000000003,931.9799999999999
Lithuania,2021-07,2781.2999999999997,1511.2699999999998,1346.47
Lithuania,2021-08,3237.9300000000003,1796.4399999999998,1600.6200000000001
Lithuania,2021-09,3486.3100000000004,1907.43,1772.1000000000001
Lithuania,2021-10,3817.8299999999995,2052.41,1949.61
Lithuania,2021-11,3941.24,2055.0400000000004,1956.9699999999996
Lithuania,2021-12,4533.760000000001,2186.4700000000003,2087.58
Lithuania,2022-01,4964.1,2227.9799999999996,2130.7999999999997
Lithuania,2022-02,4620.589999999999,2024.5399999999986,1943.55
Lithuania,2022-03,4807.25,2099.600000000001,2017.7399999999984
Luxembourg,2020-12,0.4,0.4,0
Luxembourg,2021-01,19.750000000000004,17.380000000000003,2.3599999999999994
Luxembourg,2021-02,94.07000000000002,70.96999999999998,23.099999999999998
Luxembourg,2021-03,276.3999999999999,205.02999999999997,71.37
Luxembourg,2021-04,641.8599999999999,471.3499999999999,51.13
Luxembourg,2021-05,1259.9599999999998,878.4799999999999,0
Luxembourg,2021-06,1951.0400000000002,1212.19,0
Luxembourg,2021-07,3030.419999999999,1778.33,0
Luxembourg,2021-08,3284.179999999999,1765.3200000000002,0
Luxembourg,2021-09,3668.2599999999998,1954.0600000000002,0
Luxembourg,2021-10,3685.1700000000014,1940.6399999999996,0
Luxembourg,2021-11,4101.210000000001,2085.92,0
Luxembourg,2021-12,4873.850000000001,2229.23,0
Luxembourg,2022-01,5124.430000000001,2079.38,0
Luxembourg,2022-02,4949.549999999999,1882.5600000000006,0
Luxembourg,2022-03,4622.9,1738.9400000000007,72.51
Malta,2021-01,54.39000000000001,50.65,3.75
Malta,2021-02,289.36000000000007,202.92999999999998,86.41999999999999
Malta,2021-03,797.1899999999999,550.3000000000001,246.85
Malta,2021-04,1560.37,1087.73,472.65999999999997
Malta,2021-05,2574.65,1690.5000000000002,911.5200000000001
Malta,2021-06,3506.2000000000007,1992.5199999999998,1578.4499999999998
Malta,2021-07,4325.71,2285.2500000000005,2142.84
Malta,2021-08,4708.410000000001,2451.6699999999996,2421.5400000000004
Malta,2021-09,4225.8099999999995,2184.81,2180.87
Malta,2021-10,3996.12,1984.88,1979.7299999999998
Malta,2021-11,5322.5,2520.1800000000003,2503.6299999999997
Malta,2021-12,6055.580000000001,2633.9699999999993,2608.5700000000006
Malta,2022-01,6741.250000000001,2647.3999999999996,2566.7200000000003
Malta,2022-02,6680.22,2538.2400000000002,2490.08
Malta,2022-03,6782.74,2562.84,2522.4300000000003
Netherlands,2021-01,3.67,3.65,0.01
Netherlands,2021-02,22.01,18.72,3.3
Netherlands,2021-03,48.260000000000005,36.25,12.02
Netherlands,2021-04,92.56,70.26,22.35
Netherlands,2021-05,221.57000000000002,165.12,60.230000000000004
Netherlands,2021-06,305.21000000000004,202.18,113.66
Netherlands,2021-07,551.2700000000001,342.71,230.13
Netherlands,2021-08,521.04,290.45,248.84000000000003
Netherlands,2021-09,543.13,296.13,265.66999999999996
Netherlands,2021-10,694.9200000000001,377.15,341.40000000000003
Netherlands,2021-11,569.06,307.13,278.62
Netherlands,2021-12,614.73,309.78000000000003,283.47
Netherlands,2022-01,933.82,389.02,357.87
Netherlands,2022-02,787.44,313.15,287.62
Netherlands,2022-03,593.97,235.02,215.95999999999998
Norway,2020-12,0.12,0.12,0
Norway,2021-01,31.899999999999995,29.78,2.11
Norway,2021-02,170.35000000000002,125.76000000000002,44.58
Norway,2021-03,429.30999999999995,283.1,146.2
Norway,2021-04,740.8599999999998,563.91,176.92
Norway,2021-05,1277.8200000000002,894.7,383.07
Norway,2021-06,1933.07,1166.4999999999998,766.5000000000001
Norway,2021-07,2779.74,1823.65,955.71
