Country,Date,Vaccine,Total Vaccinations
Bulgaria,2021-06,Pfizer/BioNTech,3674190
Bulgaria,2021-07,Johnson&Johnson,293566
Bulgaria,2021-07,Moderna,1234929
Bulgaria,2021-07,Oxford/AstraZeneca,2373885
Bulgaria,2021-07,Pfizer/BioNTech,5654107
Bulgaria,2021-08,Johnson&Johnson,442495
Bulgaria,2021-08,Moderna,1088503
Bulgaria,2021-08,Oxford/AstraZeneca,1908837
Bulgaria,2021-08,Pfizer/BioNTech,5318856
Bulgaria,2021-09,Johnson&Johnson,674632
Bulgaria,2021-09,Moderna,1170338
Bulgaria,2021-09,Oxford/AstraZeneca,1911940
Bulgaria,2021-09,Pfizer/BioNTech,5980800
Bulgaria,2021-10,Johnson&Johnson,1181739
Bulgaria,2021-10,Moderna,1555434
Bulgaria,2021-10,Oxford/AstraZeneca,2391846
Bulgaria,2021-10,Pfizer/BioNTech,8231150
Bulgaria,2021-11,Johnson&Johnson,1548813
Bulgaria,2021-11,Moderna,1385951
Bulgaria,2021-11,Oxford/AstraZeneca,1913896
Bulgaria,2021-11,Pfizer/BioNTech,7672202
Bulgaria,2021-12,Johnson&Johnson,2248320
Bulgaria,2021-12,Moderna,1989486
Bulgaria,2021-12,Oxford/AstraZeneca,2392370
Bulgaria,2021-12,Pfizer/BioNTech,11219615
Bulgaria,2022-01,Johnson&Johnson,1945714
Bulgaria,2022-01,Moderna,1831516
Bulgaria,2022-01,Oxford/AstraZeneca,1913964
Bulgaria,2022-01,Pfizer/BioNTech,10421479
Bulgaria,2022-02,Johnson&Johnson,2016611
Bulgaria,2022-02,Moderna,1934240
Bulgaria,2022-02,Oxford/AstraZeneca,1914090
Bulgaria,2022-02,Pfizer/BioNTech,11153234
Bulgaria,2022-03,Johnson&Johnson,1531222
Bulgaria,2022-03,Moderna,1471420
Bulgaria,2022-03,Oxford/AstraZeneca,1435621
Bulgaria,2022-03,Pfizer/BioNTech,8527399
Croatia,2021-01,Pfizer/BioNTech,243988
Croatia,2021-01,Moderna,7088
Croatia,2021-01,Oxford/AstraZeneca,4
Croatia,2021-02,Johnson&Johnson,6
Croatia,2021-02,Moderna,40197
Croatia,2021-02,Oxford/AstraZeneca,83289
Croatia,2021-02,Pfizer/BioNTech,548679
Croatia,2021-03,Johnson&Johnson,112
Croatia,2021-03,Moderna,152774
Croatia,2021-03,Oxford/AstraZeneca,506423
Croatia,2021-03,Pfizer/BioNTech,938988
Croatia,2021-04,Johnson&Johnson,1266
